French translation of Activity Values;";";A_Value;fr
Aquaculture;Aquaculture / pisciculture
Mexico;Mexique
Micronesia, Federated States of;Micronésie
Moldova, Republic of;Moldavie
Monaco;Monaco
Mongolia;Mongolie
Montenegro;Monténégro
Montserrat;Montserrat
Morocco;Maroc
Mozambique;Mozambique
Myanmar;Birmanie
Namibia;Namibie
Nauru;Nauru
Nepal;Népal
Netherlands;Pays-Bas
New Caledonia;Nouvelle-Calédonie
New Zealand;Nouvelle-Zélande
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Niue;Nioué
Norfolk Island;Île Norfolk
Northern Mariana Islands;Îles Mariannes du Nord
Norway;Norvège
Oman;Oman
Pakistan;Pakistan
Palau;Palaos
Palestine, State of;Palestine
Panama;Panama
Papua New Guinea;Papouasie-Nouvelle-Guinée
Paraguay;Paraguay
Peru;Pérou
Philippines;Philippines
Pitcairn;Îles Pitcairn
Poland;Pologne
Portugal;Portugal
Puerto Rico;Porto Rico
Qatar;Qatar
Romania;Roumanie
Russian Federation;Russie
Rwanda;Rwanda
Réunion;La Réunion
Saint Barthélemy;Saint-Barthélemy
Saint Helena, Ascension and Tristan da Cunha;Sainte-Hélène
Saint Kitts and Nevis;Saint-Christophe-et-Niévès
Saint Lucia;Sainte-Lucie
Saint Martin (French part);Saint-Martin
Saint Pierre and Miquelon;Saint-Pierre-et-Miquelon
Saint Vincent and the Grenadines;Saint-Vincent-et-les Grenadines
Samoa;Samoa
San Marino;Saint-Marin
Sao Tome and Principe;Sao Tomé-et-Principe
Saudi Arabia;Arabie saoudite
Senegal;Sénégal
Serbia;Serbie
Seychelles;Seychelles
Sierra Leone;Sierra Leone
Singapore;Singapour
Sint Maarten (Dutch part);Sint Maarten
Slovakia;Slovaquie
Slovenia;Slovénie
Solomon Islands;Salomon
Somalia;Somalie
South Africa;Afrique du Sud
South Georgia and the South Sandwich Islands;Géorgie du Sud-et-les Îles Sandwich du Sud
South Sudan;Soudan du Sud
Spain;Espagne
Sri Lanka;Sri Lanka
Sudan;Soudan
Suriname;Suriname
Svalbard and Jan Mayen;Svalbard et île Jan Mayen
Swaziland;Swaziland
Sweden;Suède
Switzerland;Suisse
Syrian Arab Republic;Syrie
Taiwan, Province of China;Taïwan
Tajikistan;Tadjikistan
Tanzania, United Republic of;Tanzanie
Thailand;Thaïlande
Timor-Leste;Timor oriental
Togo;Togo
Tokelau;Tokelau
Tonga;Tonga
Trinidad and Tobago;Trinité-et-Tobago
Tunisia;Tunisie
Turkey;Turquie
Turkmenistan;Turkménistan
Turks and Caicos Islands;Îles Turques-et-Caïques
Tuvalu;Tuvalu
Uganda;Ouganda
Ukraine;Ukraine
United Arab Emirates;Émirats arabes unis
United Kingdom;Royaume-Uni
United States;États-Unis
United States Minor Outlying Islands;Îles mineures éloignées des États-Unis
Uruguay;Uruguay
Uzbekistan;Ouzbékistan
Vanuatu;Vanuatu
Venezuela, Bolivarian Republic of;Venezuela
Viet Nam;Viêt Nam
Virgin Islands, British;Îles Vierges britanniques
Virgin Islands, U.S.;Îles Vierges des États-Unis
Wallis and Futuna;Wallis-et-Futuna
Western Sahara;République arabe sahraouie démocratique
Yemen;Yémen
Zambia;Zambie
Zimbabwe;Zimbabwe
Åland Islands;Îles Åland
Accacia;Acacia
Alfalfa;Luzerne
Algae;Algues
Almond;Amandes
Aloe Vera;Aloe vera
Apple;Pomme 
Bamboo;Bambou
Banana;Banane
Barley;Orge
Bean;Haricot
Bottle Gourd;Calebasse
Buckwheat;Sarassin
Cacao;Cacao
Canola;Colza
Cashew;Noix de cajou
Cassava (Maniok);Manioc
Castor Oil Plant;Huile de ricin 
Cereals (no specification);Céréales
Chat;
Cherries;Cerises
Chert;
Citrus Fruits;Citrus
Coconut;Noix de coco 
Coffee Plant;Café
Corn (Maize);Maïs 
Cotton;Coton
Croton;Croton
Dill;Aneth
Eucalyptus;Eucalyptus
Fig-Nut;Figue
Flowers;Horticulture
Fodder Plants;Fourrage
Fruit;Fruits
Glucose Syrup;Syrop de glucose
Grains;Céréales
Grapes;Raisin
Herbs (no specification);Epices
Jatropha;Jatropha
Lentils;Lentille
Mango;Mangue
Mustard;Moutarde
Oil Palm;Huile de palme
Oil Seeds;Graines oléagineuses
Oleagionous plant;Oléagineux 
Olives;Olives
Onion;Oignon 
Palms;palmier à huile
Papaya;Papaye
Passion fruit;Fruit de la passion
Peanut;Arachide
Peas;Pois
Pepper;Poivre
Pine;Pin
Pineapple;Anananas
Pomegranate;Grenade
Pongamia Pinnata;Noix de pongamia
Potatoes;Pommes de terre
Pulses;
Rapeseed;Colza
Rice;Riz
Roses;Rose
Rubber;Hévéa
Rye;Seigle
Sea Cucumber;Concombre de mer
Seed Production;Production de semences
Sesame;Sésame 
Sisal;Sisal
Sorghum;Sorgho
Soya Beans;Soja
Starch;Amidon
Sugar Cane;Canne à sucre
Sugar beet;Betterave
Sun Flower;Tournesol
Sweet Potatoes;Patate douce
Tea;Thé
Teak;Teck
Teff;
Tomatoes;Tomates
Trees;Arbres
Vegetables;Maraîchage
Vineyard;Vignoble
Wheat;Blé
Yam;Igname
Company sources;Informations fournies par l'entreprise
Contract;Documents officiels 
Government sources;Sources gouvernementales
Media report;Média 
Personal information;Personnes ressources 
Research paper;Documents scientifiques ou expertises
Cropland;Cultures
Forest land;Forestier ou arboré
Grassland;Prairies
Marginal land;Terrains nus ou très dégradés
Community;
Private (large-scale);
Private (smallholders);Propriété privée titrée
State;Domaine privé de l'Etat
Commercial (large-scale) agriculture;Agriculture commerciale à grande échelle
Conservation;Conservation de la nature
Forestry;Forêt
Pastoralists;Pâturages
Smallholder agriculture;Agriculture familiale
In operation;En cours
Project abandoned;Abandon
Project not started;Etudes et recherches 
Startup phase;Installation
Agriculture;Agriculture
Industry;Industrie
Mining;Mines
Renewable energy;Energie renouvelable
Tourism;Tourisme 
Anthracite;Anthracite
Asphaltite;
Barite;Baryte
Basalt;Basalte
Bauxite;Bauxite
Building materials;Matériaux de contrusction
Carbon;Carbon
Clay;Argile
Coal;Charbon
Cobalt;Cobalte
Copper;Cuivre
Diamond mining;Diamand
Emerald;Emeuraude
Feldspar;Feldspath
Fluoride;Fluorure
Gas;Gaz
Gold;Or 
Granite;Granite
Gravel;Gravier
Ilmenite;Ilménite
Iron;Fer
Jade;Jade
Lead;Graphite
Limestone;Calcaire
Manganese;Manganèse
Marble;Marbre
Molybdenum;Molybdène
Nickel;Nickel
Petroleum;Pétrole
Phosphorous;Phosphore
Platinum;Platine
Pynions;
Pyrolisis Plant;pyrolyse
Salt;Sel
Sand;Sable
Silica;Silice
Silver;Argent
Stone;Pierre
Titanium;Titane
Uranium;Uranium
Zinc;Zinc
Exploitation License;License d'exploitation
Lease/Concession;Bail / Concession
Outright Purchase;Achat 
Contract cancelled;Contrat arrêté 
Contract signed;Contrat signé
Negotiations failed;Négociations interrompues
Oral agreement;Accord verbal
Under negotiation;Négociation en cours
Agrofuels;Agro-carburants
Food crops;Denrées alimentaires
Livestock;Alimentation animale 
Non-food agricultural commodities;Productions non alimentaires 
carbon sequestration;Séquestration de carbone
wood and fibre;Fibre et bois
100m to 1km;de 100 m à 1 km
10km to 100km;de 10 km à 100 km
1km to 10km;de 1 km à 10 km
better than 100m;mieux que 100 m 
worse than 100km;plus que 100 km
Domestic use;Domestique
Export;Export
Ground water;Eaux souterraines
Lake;
River;Rivière
