French translation of Countries (A_Value / SH_Value);";";-;fr
Belgique;Belgium
Antilles néerlandaises;Bonaire, Saint Eustatius and Saba
Åland;Åland
Antarctique;Antarctica
Île Bouvet;Bouvet Island
Territoire britannique de l'océan Indien;British Indian Ocean Territory
Île Christmas;Christmas Island
Île de Clipperton;Clipperton Island
Îles Cocos;Cocos Islands
Curaçao;Curaçao
Timor oriental;East Timor
Groenland;Greenland
Guernesey;Guernsey
Îles Heard-et-MacDonald;Heard Island and McDonald Islands
Île de Man;Isle of Man
Jersey;Jersey
Kosovo;Kosovo
Mayotte;Mayotte
Monténégro;Montenegro
Norfolk;Norfolk Island
Îles Mariannes du Nord;Northern Mariana Islands
Îles Pitcairn;Pitcairn Islands
République du Congo;Republic of Congo
Saint-Christophe-et-Niévès;Saint Kitts and Nevis
Saint-Barthélemy;Saint-Barthélemy
Saint-Martin (Antilles françaises);Saint-Martin
Serbie;Serbia
Saint-Martin (Royaume des Pays-Bas);Sint Maarten
Géorgie du Sud-et-les Îles Sandwich du Sud;South Georgia and the South Sandwich Islands
Soudan du Sud;South Sudan
Îles Spratleys;Spratly islands
Svalbard et Jan Mayen;Svalbard and Jan Mayen
Îles mineures éloignées des États-Unis;United States Minor Outlying Islands
Sahara occidental;Western Sahara
